emploi,entreprise,localisation,date_publication,temps_travail,salaire_annuel,categorie_salaire
Responsable Animations Pièces & Services H/F,Emil Frey France,Grenoble - 38,2025-12-14 00:40:27.194163,1,47500.0,1
Responsable Back-Office & Supply H/F,Dresco,Paris - 75,2025-12-14 00:40:27.195193,1,45000.0,1
Chef Gérant - Manager de Site Cuisinant H/F,Elior Restauration,Publier - 74,2025-12-14 00:40:27.195853,1,33600.0,1
Gestionnaire Production IARD H/F,DIOT-SIACI,Paris - 75,2025-12-14 00:40:27.196867,1,34000.0,1
Technicien Itinérant Matériel d'Hygiène Professionnelle H/F,PLG,Nîmes - 30,2025-12-14 00:40:27.197562,1,28200.0,0
Auxiliaire de Vie H/F,ADHAP,Vannes - 56,2025-12-14 00:40:27.197922,1,11.0,0
Second de Cuisine H/F,Vitalrest,La Bastide-Clairence - 64,2025-12-14 00:40:27.198263,1,2216.0,0
Chef de Mission Expertise Comptable H/F,PKF Arsilon,Saint-Quentin - 02,2025-12-14 00:40:27.199263,1,46500.0,1
Mécanicien de Maintenance Automobile H/F,Point S Réseau,Les Pieux - 50,2025-12-14 00:40:27.200972,1,31800.0,1
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:40:32.353520,0,26000.0,0
Chauffeur Opérateur la Ciotat H/F,SARP,La Ciotat - 13,2025-12-14 00:40:32.354213,1,26000.0,0
Jardinier Paysagiste H/F,Adonis Paysages,Vallauris - 06,2025-12-14 00:40:32.355952,1,33000.0,1
Technicien Usine d'Eau Potable et Assainissement H/F,Veolia Eau,Sainte-Menehould - 51,2025-12-14 00:40:32.356983,1,29300.0,1
Employé Qualifié Logistique Magasin H/F,Auchan Retail France,Caluire-et-Cuire - 69,2025-12-14 00:40:32.358668,1,24947.0,0
Opérateur Réseaux H/F,Veolia Eau,Aime-la-Plagne - 73,2025-12-14 00:40:32.359032,1,34000.0,1
Collaborateur Comptable Confirmé H/F,CERFRANCE Mayenne/Sarthe,Le Grand-Lucé - 72,2025-12-14 00:40:32.360648,1,31500.0,1
Second de Cuisine H/F,Vitalrest,Paris 18e - 75,2025-12-14 00:40:32.360999,1,28224.0,0
Auxiliaire de Vie H/F,ADHAP,Clermont-Ferrand - 63,2025-12-14 00:40:32.361702,0,12.0,0
Commercial Terrain Btob - Bâtiment H/F,Dorthz,Loire-Atlantique - 44,2025-12-14 00:40:32.362420,1,37500.0,1
Conducteur de Ligne H/F,JH Industries,Rocheservière - 85,2025-12-14 00:40:32.363794,1,23292.0,0
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:40:36.506850,0,26000.0,0
Chauffeur Opérateur la Ciotat H/F,SARP,La Ciotat - 13,2025-12-14 00:40:36.507613,1,26000.0,0
Jardinier Paysagiste H/F,Adonis Paysages,Vallauris - 06,2025-12-14 00:40:36.509761,1,33000.0,1
Technicien Usine d'Eau Potable et Assainissement H/F,Veolia Eau,Sainte-Menehould - 51,2025-12-14 00:40:36.511481,1,29300.0,1
Employé Qualifié Logistique Magasin H/F,Auchan Retail France,Caluire-et-Cuire - 69,2025-12-14 00:40:36.513480,1,24947.0,0
Opérateur Réseaux H/F,Veolia Eau,Aime-la-Plagne - 73,2025-12-14 00:40:36.513828,1,34000.0,1
Collaborateur Comptable Confirmé H/F,CERFRANCE Mayenne/Sarthe,Le Grand-Lucé - 72,2025-12-14 00:40:36.515349,1,31500.0,1
Second de Cuisine H/F,Vitalrest,Paris 18e - 75,2025-12-14 00:40:36.515734,1,28224.0,0
Auxiliaire de Vie H/F,ADHAP,Clermont-Ferrand - 63,2025-12-14 00:40:36.516532,0,12.0,0
Commercial Terrain Btob - Bâtiment H/F,Dorthz,Loire-Atlantique - 44,2025-12-14 00:40:36.517330,1,37500.0,1
Conducteur de Ligne H/F,JH Industries,Rocheservière - 85,2025-12-14 00:40:36.518713,1,23292.0,0
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:40:41.088057,0,26000.0,0
Chauffeur Opérateur la Ciotat H/F,SARP,La Ciotat - 13,2025-12-14 00:40:41.089240,1,26000.0,0
Jardinier Paysagiste H/F,Adonis Paysages,Vallauris - 06,2025-12-14 00:40:41.091321,1,33000.0,1
Technicien Usine d'Eau Potable et Assainissement H/F,Veolia Eau,Sainte-Menehould - 51,2025-12-14 00:40:41.092329,1,29300.0,1
Employé Qualifié Logistique Magasin H/F,Auchan Retail France,Caluire-et-Cuire - 69,2025-12-14 00:40:41.094923,1,24947.0,0
Opérateur Réseaux H/F,Veolia Eau,Aime-la-Plagne - 73,2025-12-14 00:40:41.095377,1,34000.0,1
Collaborateur Comptable Confirmé H/F,CERFRANCE Mayenne/Sarthe,Le Grand-Lucé - 72,2025-12-14 00:40:41.098037,1,31500.0,1
Second de Cuisine H/F,Vitalrest,Paris 18e - 75,2025-12-14 00:40:41.098419,1,28224.0,0
Auxiliaire de Vie H/F,ADHAP,Clermont-Ferrand - 63,2025-12-14 00:40:41.099119,0,12.0,0
Commercial Terrain Btob - Bâtiment H/F,Dorthz,Loire-Atlantique - 44,2025-12-14 00:40:41.099842,1,37500.0,1
Conducteur de Ligne H/F,JH Industries,Rocheservière - 85,2025-12-14 00:40:41.101522,1,23292.0,0
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:40:44.951874,0,26000.0,0
Chauffeur Opérateur la Ciotat H/F,SARP,La Ciotat - 13,2025-12-14 00:40:44.952578,1,26000.0,0
Jardinier Paysagiste H/F,Adonis Paysages,Vallauris - 06,2025-12-14 00:40:44.954348,1,33000.0,1
Technicien Usine d'Eau Potable et Assainissement H/F,Veolia Eau,Sainte-Menehould - 51,2025-12-14 00:40:44.955443,1,29300.0,1
Employé Qualifié Logistique Magasin H/F,Auchan Retail France,Caluire-et-Cuire - 69,2025-12-14 00:40:44.957107,1,24947.0,0
Opérateur Réseaux H/F,Veolia Eau,Aime-la-Plagne - 73,2025-12-14 00:40:44.957453,1,34000.0,1
Collaborateur Comptable Confirmé H/F,CERFRANCE Mayenne/Sarthe,Le Grand-Lucé - 72,2025-12-14 00:40:44.958801,1,31500.0,1
Second de Cuisine H/F,Vitalrest,Paris 18e - 75,2025-12-14 00:40:44.959137,1,28224.0,0
Auxiliaire de Vie H/F,ADHAP,Clermont-Ferrand - 63,2025-12-14 00:40:44.959855,0,12.0,0
Commercial Terrain Btob - Bâtiment H/F,Dorthz,Loire-Atlantique - 44,2025-12-14 00:40:44.960602,1,37500.0,1
Conducteur de Ligne H/F,JH Industries,Rocheservière - 85,2025-12-14 00:40:44.962049,1,23292.0,0
Boulanger H/F,Boulangerie  Ange,Jaux - 60,2025-12-14 00:40:48.989852,1,22800.0,0
Assistant Ménager Ossé H/F,Maison et Services,Châteaugiron - 35,2025-12-14 00:40:48.991091,0,11.0,0
Directeur Hypermarché H/F,Auchan Retail France,Lyon - 69,2025-12-14 00:40:48.991537,1,80600.0,1
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:40:48.991983,0,26000.0,0
Responsable Animations Pièces & Services H/F,Emil Frey France,Grenoble - 38,2025-12-14 00:40:48.995045,1,47500.0,1
Responsable Back-Office & Supply H/F,Dresco,Paris - 75,2025-12-14 00:40:48.996154,1,45000.0,1
Technicien Exploitation Maintenance H/F,SCP – Société du canal de Provence,Le Tholonet - 13,2025-12-14 00:40:48.999258,1,27500.0,0
Chef de Mission Expertise Comptable H/F,PKF Arsilon,Saint-Quentin - 02,2025-12-14 00:40:49.001841,1,46500.0,1
Boulanger H/F,Boulangerie  Ange,Jaux - 60,2025-12-14 00:40:53.178304,1,22800.0,0
Assistant Ménager Ossé H/F,Maison et Services,Châteaugiron - 35,2025-12-14 00:40:53.179039,0,11.0,0
Directeur Hypermarché H/F,Auchan Retail France,Lyon - 69,2025-12-14 00:40:53.179396,1,80600.0,1
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:40:53.179752,0,26000.0,0
Responsable Animations Pièces & Services H/F,Emil Frey France,Grenoble - 38,2025-12-14 00:40:53.181809,1,47500.0,1
Responsable Back-Office & Supply H/F,Dresco,Paris - 75,2025-12-14 00:40:53.182797,1,45000.0,1
Technicien Exploitation Maintenance H/F,SCP – Société du canal de Provence,Le Tholonet - 13,2025-12-14 00:40:53.185128,1,27500.0,0
Chef de Mission Expertise Comptable H/F,PKF Arsilon,Saint-Quentin - 02,2025-12-14 00:40:53.187100,1,46500.0,1
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:40:58.380388,0,26000.0,0
Chauffeur Opérateur la Ciotat H/F,SARP,La Ciotat - 13,2025-12-14 00:40:58.385812,1,26000.0,0
Jardinier Paysagiste H/F,Adonis Paysages,Vallauris - 06,2025-12-14 00:40:58.387568,1,33000.0,1
Technicien Usine d'Eau Potable et Assainissement H/F,Veolia Eau,Sainte-Menehould - 51,2025-12-14 00:40:58.388646,1,29300.0,1
Employé Qualifié Logistique Magasin H/F,Auchan Retail France,Caluire-et-Cuire - 69,2025-12-14 00:40:58.392419,1,24947.0,0
Opérateur Réseaux H/F,Veolia Eau,Aime-la-Plagne - 73,2025-12-14 00:40:58.393219,1,34000.0,1
Collaborateur Comptable Confirmé H/F,CERFRANCE Mayenne/Sarthe,Le Grand-Lucé - 72,2025-12-14 00:40:58.395801,1,31500.0,1
Second de Cuisine H/F,Vitalrest,Paris 18e - 75,2025-12-14 00:40:58.396521,1,28224.0,0
Auxiliaire de Vie H/F,ADHAP,Clermont-Ferrand - 63,2025-12-14 00:40:58.398004,0,12.0,0
Commercial Terrain Btob - Bâtiment H/F,Dorthz,Loire-Atlantique - 44,2025-12-14 00:40:58.399355,1,37500.0,1
Conducteur de Ligne H/F,JH Industries,Rocheservière - 85,2025-12-14 00:40:58.401785,1,23292.0,0
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:41:03.206501,0,26000.0,0
Chauffeur Opérateur la Ciotat H/F,SARP,La Ciotat - 13,2025-12-14 00:41:03.207208,1,26000.0,0
Jardinier Paysagiste H/F,Adonis Paysages,Vallauris - 06,2025-12-14 00:41:03.208961,1,33000.0,1
Technicien Usine d'Eau Potable et Assainissement H/F,Veolia Eau,Sainte-Menehould - 51,2025-12-14 00:41:03.210009,1,29300.0,1
Employé Qualifié Logistique Magasin H/F,Auchan Retail France,Caluire-et-Cuire - 69,2025-12-14 00:41:03.211675,1,24947.0,0
Opérateur Réseaux H/F,Veolia Eau,Aime-la-Plagne - 73,2025-12-14 00:41:03.212008,1,34000.0,1
Collaborateur Comptable Confirmé H/F,CERFRANCE Mayenne/Sarthe,Le Grand-Lucé - 72,2025-12-14 00:41:03.213365,1,31500.0,1
Second de Cuisine H/F,Vitalrest,Paris 18e - 75,2025-12-14 00:41:03.213699,1,28224.0,0
Auxiliaire de Vie H/F,ADHAP,Clermont-Ferrand - 63,2025-12-14 00:41:03.214390,0,12.0,0
Commercial Terrain Btob - Bâtiment H/F,Dorthz,Loire-Atlantique - 44,2025-12-14 00:41:03.215125,1,37500.0,1
Conducteur de Ligne H/F,JH Industries,Rocheservière - 85,2025-12-14 00:41:03.216475,1,23292.0,0
Boulanger H/F,Boulangerie  Ange,Jaux - 60,2025-12-14 00:41:07.240177,1,22800.0,0
Assistant Ménager Ossé H/F,Maison et Services,Châteaugiron - 35,2025-12-14 00:41:07.240884,0,11.0,0
Directeur Hypermarché H/F,Auchan Retail France,Lyon - 69,2025-12-14 00:41:07.241238,1,80600.0,1
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:41:07.241579,0,26000.0,0
Responsable Animations Pièces & Services H/F,Emil Frey France,Grenoble - 38,2025-12-14 00:41:07.243616,1,47500.0,1
Responsable Back-Office & Supply H/F,Dresco,Paris - 75,2025-12-14 00:41:07.244643,1,45000.0,1
Technicien Exploitation Maintenance H/F,SCP – Société du canal de Provence,Le Tholonet - 13,2025-12-14 00:41:07.247033,1,27500.0,0
Chef de Mission Expertise Comptable H/F,PKF Arsilon,Saint-Quentin - 02,2025-12-14 00:41:07.249066,1,46500.0,1
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:41:11.425185,0,26000.0,0
Chauffeur Opérateur la Ciotat H/F,SARP,La Ciotat - 13,2025-12-14 00:41:11.425897,1,26000.0,0
Jardinier Paysagiste H/F,Adonis Paysages,Vallauris - 06,2025-12-14 00:41:11.427601,1,33000.0,1
Technicien Usine d'Eau Potable et Assainissement H/F,Veolia Eau,Sainte-Menehould - 51,2025-12-14 00:41:11.428610,1,29300.0,1
Employé Qualifié Logistique Magasin H/F,Auchan Retail France,Caluire-et-Cuire - 69,2025-12-14 00:41:11.430294,1,24947.0,0
Opérateur Réseaux H/F,Veolia Eau,Aime-la-Plagne - 73,2025-12-14 00:41:11.430640,1,34000.0,1
Collaborateur Comptable Confirmé H/F,CERFRANCE Mayenne/Sarthe,Le Grand-Lucé - 72,2025-12-14 00:41:11.432036,1,31500.0,1
Second de Cuisine H/F,Vitalrest,Paris 18e - 75,2025-12-14 00:41:11.432382,1,28224.0,0
Auxiliaire de Vie H/F,ADHAP,Clermont-Ferrand - 63,2025-12-14 00:41:11.433097,0,12.0,0
Commercial Terrain Btob - Bâtiment H/F,Dorthz,Loire-Atlantique - 44,2025-12-14 00:41:11.433806,1,37500.0,1
Conducteur de Ligne H/F,JH Industries,Rocheservière - 85,2025-12-14 00:41:11.435269,1,23292.0,0
Boulanger H/F,Boulangerie  Ange,Jaux - 60,2025-12-14 00:41:15.095170,1,22800.0,0
Assistant Ménager Ossé H/F,Maison et Services,Châteaugiron - 35,2025-12-14 00:41:15.095882,0,11.0,0
Directeur Hypermarché H/F,Auchan Retail France,Lyon - 69,2025-12-14 00:41:15.096221,1,80600.0,1
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:41:15.096556,0,26000.0,0
Responsable Animations Pièces & Services H/F,Emil Frey France,Grenoble - 38,2025-12-14 00:41:15.098585,1,47500.0,1
Responsable Back-Office & Supply H/F,Dresco,Paris - 75,2025-12-14 00:41:15.099620,1,45000.0,1
Technicien Exploitation Maintenance H/F,SCP – Société du canal de Provence,Le Tholonet - 13,2025-12-14 00:41:15.101964,1,27500.0,0
Chef de Mission Expertise Comptable H/F,PKF Arsilon,Saint-Quentin - 02,2025-12-14 00:41:15.103999,1,46500.0,1
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:41:19.981063,0,26000.0,0
Chauffeur Opérateur la Ciotat H/F,SARP,La Ciotat - 13,2025-12-14 00:41:19.981845,1,26000.0,0
Jardinier Paysagiste H/F,Adonis Paysages,Vallauris - 06,2025-12-14 00:41:19.983582,1,33000.0,1
Technicien Usine d'Eau Potable et Assainissement H/F,Veolia Eau,Sainte-Menehould - 51,2025-12-14 00:41:19.984620,1,29300.0,1
Employé Qualifié Logistique Magasin H/F,Auchan Retail France,Caluire-et-Cuire - 69,2025-12-14 00:41:19.986318,1,24947.0,0
Opérateur Réseaux H/F,Veolia Eau,Aime-la-Plagne - 73,2025-12-14 00:41:19.986652,1,34000.0,1
Collaborateur Comptable Confirmé H/F,CERFRANCE Mayenne/Sarthe,Le Grand-Lucé - 72,2025-12-14 00:41:19.988223,1,31500.0,1
Second de Cuisine H/F,Vitalrest,Paris 18e - 75,2025-12-14 00:41:19.988561,1,28224.0,0
Auxiliaire de Vie H/F,ADHAP,Clermont-Ferrand - 63,2025-12-14 00:41:19.989269,0,12.0,0
Commercial Terrain Btob - Bâtiment H/F,Dorthz,Loire-Atlantique - 44,2025-12-14 00:41:19.989969,1,37500.0,1
Conducteur de Ligne H/F,JH Industries,Rocheservière - 85,2025-12-14 00:41:19.991310,1,23292.0,0
Responsable Animations Pièces & Services H/F,Emil Frey France,Grenoble - 38,2025-12-14 00:41:24.879266,1,47500.0,1
Responsable Back-Office & Supply H/F,Dresco,Paris - 75,2025-12-14 00:41:24.880277,1,45000.0,1
Chef Gérant - Manager de Site Cuisinant H/F,Elior Restauration,Publier - 74,2025-12-14 00:41:24.880952,1,33600.0,1
Gestionnaire Production IARD H/F,DIOT-SIACI,Paris - 75,2025-12-14 00:41:24.881947,1,34000.0,1
Technicien Itinérant Matériel d'Hygiène Professionnelle H/F,PLG,Nîmes - 30,2025-12-14 00:41:24.882641,1,28200.0,0
Auxiliaire de Vie H/F,ADHAP,Vannes - 56,2025-12-14 00:41:24.883009,1,11.0,0
Second de Cuisine H/F,Vitalrest,La Bastide-Clairence - 64,2025-12-14 00:41:24.883398,1,2216.0,0
Chef de Mission Expertise Comptable H/F,PKF Arsilon,Saint-Quentin - 02,2025-12-14 00:41:24.884429,1,46500.0,1
Mécanicien de Maintenance Automobile H/F,Point S Réseau,Les Pieux - 50,2025-12-14 00:41:24.886142,1,31800.0,1
Boulanger H/F,Boulangerie  Ange,Jaux - 60,2025-12-14 00:41:28.871967,1,22800.0,0
Assistant Ménager Ossé H/F,Maison et Services,Châteaugiron - 35,2025-12-14 00:41:28.873538,0,11.0,0
Directeur Hypermarché H/F,Auchan Retail France,Lyon - 69,2025-12-14 00:41:28.874199,1,80600.0,1
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:41:28.874885,0,26000.0,0
Responsable Animations Pièces & Services H/F,Emil Frey France,Grenoble - 38,2025-12-14 00:41:28.882578,1,47500.0,1
Responsable Back-Office & Supply H/F,Dresco,Paris - 75,2025-12-14 00:41:28.884690,1,45000.0,1
Technicien Exploitation Maintenance H/F,SCP – Société du canal de Provence,Le Tholonet - 13,2025-12-14 00:41:28.888869,1,27500.0,0
Chef de Mission Expertise Comptable H/F,PKF Arsilon,Saint-Quentin - 02,2025-12-14 00:41:28.892251,1,46500.0,1
Responsable Animations Pièces & Services H/F,Emil Frey France,Grenoble - 38,2025-12-14 00:41:33.697283,1,47500.0,1
Responsable Back-Office & Supply H/F,Dresco,Paris - 75,2025-12-14 00:41:33.698284,1,45000.0,1
Chef Gérant - Manager de Site Cuisinant H/F,Elior Restauration,Publier - 74,2025-12-14 00:41:33.698944,1,33600.0,1
Gestionnaire Production IARD H/F,DIOT-SIACI,Paris - 75,2025-12-14 00:41:33.699952,1,34000.0,1
Technicien Itinérant Matériel d'Hygiène Professionnelle H/F,PLG,Nîmes - 30,2025-12-14 00:41:33.700653,1,28200.0,0
Auxiliaire de Vie H/F,ADHAP,Vannes - 56,2025-12-14 00:41:33.701005,1,11.0,0
Second de Cuisine H/F,Vitalrest,La Bastide-Clairence - 64,2025-12-14 00:41:33.701349,1,2216.0,0
Chef de Mission Expertise Comptable H/F,PKF Arsilon,Saint-Quentin - 02,2025-12-14 00:41:33.702356,1,46500.0,1
Mécanicien de Maintenance Automobile H/F,Point S Réseau,Les Pieux - 50,2025-12-14 00:41:33.704067,1,31800.0,1
Responsable Animations Pièces & Services H/F,Emil Frey France,Grenoble - 38,2025-12-14 00:41:38.660496,1,47500.0,1
Responsable Back-Office & Supply H/F,Dresco,Paris - 75,2025-12-14 00:41:38.661514,1,45000.0,1
Chef Gérant - Manager de Site Cuisinant H/F,Elior Restauration,Publier - 74,2025-12-14 00:41:38.662197,1,33600.0,1
Gestionnaire Production IARD H/F,DIOT-SIACI,Paris - 75,2025-12-14 00:41:38.663197,1,34000.0,1
Technicien Itinérant Matériel d'Hygiène Professionnelle H/F,PLG,Nîmes - 30,2025-12-14 00:41:38.663892,1,28200.0,0
Auxiliaire de Vie H/F,ADHAP,Vannes - 56,2025-12-14 00:41:38.664264,1,11.0,0
Second de Cuisine H/F,Vitalrest,La Bastide-Clairence - 64,2025-12-14 00:41:38.664626,1,2216.0,0
Chef de Mission Expertise Comptable H/F,PKF Arsilon,Saint-Quentin - 02,2025-12-14 00:41:38.665616,1,46500.0,1
Mécanicien de Maintenance Automobile H/F,Point S Réseau,Les Pieux - 50,2025-12-14 00:41:38.667330,1,31800.0,1
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:41:43.618076,0,26000.0,0
Chauffeur Opérateur la Ciotat H/F,SARP,La Ciotat - 13,2025-12-14 00:41:43.618763,1,26000.0,0
Jardinier Paysagiste H/F,Adonis Paysages,Vallauris - 06,2025-12-14 00:41:43.620600,1,33000.0,1
Technicien Usine d'Eau Potable et Assainissement H/F,Veolia Eau,Sainte-Menehould - 51,2025-12-14 00:41:43.621607,1,29300.0,1
Employé Qualifié Logistique Magasin H/F,Auchan Retail France,Caluire-et-Cuire - 69,2025-12-14 00:41:43.623254,1,24947.0,0
Opérateur Réseaux H/F,Veolia Eau,Aime-la-Plagne - 73,2025-12-14 00:41:43.623595,1,34000.0,1
Collaborateur Comptable Confirmé H/F,CERFRANCE Mayenne/Sarthe,Le Grand-Lucé - 72,2025-12-14 00:41:43.624983,1,31500.0,1
Second de Cuisine H/F,Vitalrest,Paris 18e - 75,2025-12-14 00:41:43.625341,1,28224.0,0
Auxiliaire de Vie H/F,ADHAP,Clermont-Ferrand - 63,2025-12-14 00:41:43.626031,0,12.0,0
Commercial Terrain Btob - Bâtiment H/F,Dorthz,Loire-Atlantique - 44,2025-12-14 00:41:43.626738,1,37500.0,1
Conducteur de Ligne H/F,JH Industries,Rocheservière - 85,2025-12-14 00:41:43.628089,1,23292.0,0
Boulanger H/F,Boulangerie  Ange,Jaux - 60,2025-12-14 00:41:47.579174,1,22800.0,0
Assistant Ménager Ossé H/F,Maison et Services,Châteaugiron - 35,2025-12-14 00:41:47.579865,0,11.0,0
Directeur Hypermarché H/F,Auchan Retail France,Lyon - 69,2025-12-14 00:41:47.580195,1,80600.0,1
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:41:47.580534,0,26000.0,0
Responsable Animations Pièces & Services H/F,Emil Frey France,Grenoble - 38,2025-12-14 00:41:47.582524,1,47500.0,1
Responsable Back-Office & Supply H/F,Dresco,Paris - 75,2025-12-14 00:41:47.583528,1,45000.0,1
Technicien Exploitation Maintenance H/F,SCP – Société du canal de Provence,Le Tholonet - 13,2025-12-14 00:41:47.585932,1,27500.0,0
Chef de Mission Expertise Comptable H/F,PKF Arsilon,Saint-Quentin - 02,2025-12-14 00:41:47.587968,1,46500.0,1
Responsable Animations Pièces & Services H/F,Emil Frey France,Grenoble - 38,2025-12-14 00:41:52.497489,1,47500.0,1
Responsable Back-Office & Supply H/F,Dresco,Paris - 75,2025-12-14 00:41:52.498517,1,45000.0,1
Chef Gérant - Manager de Site Cuisinant H/F,Elior Restauration,Publier - 74,2025-12-14 00:41:52.499192,1,33600.0,1
Gestionnaire Production IARD H/F,DIOT-SIACI,Paris - 75,2025-12-14 00:41:52.500195,1,34000.0,1
Technicien Itinérant Matériel d'Hygiène Professionnelle H/F,PLG,Nîmes - 30,2025-12-14 00:41:52.500898,1,28200.0,0
Auxiliaire de Vie H/F,ADHAP,Vannes - 56,2025-12-14 00:41:52.501264,1,11.0,0
Second de Cuisine H/F,Vitalrest,La Bastide-Clairence - 64,2025-12-14 00:41:52.501609,1,2216.0,0
Chef de Mission Expertise Comptable H/F,PKF Arsilon,Saint-Quentin - 02,2025-12-14 00:41:52.502801,1,46500.0,1
Mécanicien de Maintenance Automobile H/F,Point S Réseau,Les Pieux - 50,2025-12-14 00:41:52.504549,1,31800.0,1
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:41:56.753314,0,26000.0,0
Chauffeur Opérateur la Ciotat H/F,SARP,La Ciotat - 13,2025-12-14 00:41:56.754023,1,26000.0,0
Jardinier Paysagiste H/F,Adonis Paysages,Vallauris - 06,2025-12-14 00:41:56.755842,1,33000.0,1
Technicien Usine d'Eau Potable et Assainissement H/F,Veolia Eau,Sainte-Menehould - 51,2025-12-14 00:41:56.756885,1,29300.0,1
Employé Qualifié Logistique Magasin H/F,Auchan Retail France,Caluire-et-Cuire - 69,2025-12-14 00:41:56.758602,1,24947.0,0
Opérateur Réseaux H/F,Veolia Eau,Aime-la-Plagne - 73,2025-12-14 00:41:56.758943,1,34000.0,1
Collaborateur Comptable Confirmé H/F,CERFRANCE Mayenne/Sarthe,Le Grand-Lucé - 72,2025-12-14 00:41:56.760338,1,31500.0,1
Second de Cuisine H/F,Vitalrest,Paris 18e - 75,2025-12-14 00:41:56.760684,1,28224.0,0
Auxiliaire de Vie H/F,ADHAP,Clermont-Ferrand - 63,2025-12-14 00:41:56.761397,0,12.0,0
Commercial Terrain Btob - Bâtiment H/F,Dorthz,Loire-Atlantique - 44,2025-12-14 00:41:56.762112,1,37500.0,1
Conducteur de Ligne H/F,JH Industries,Rocheservière - 85,2025-12-14 00:41:56.763481,1,23292.0,0
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:42:00.418975,0,26000.0,0
Chauffeur Opérateur la Ciotat H/F,SARP,La Ciotat - 13,2025-12-14 00:42:00.419741,1,26000.0,0
Jardinier Paysagiste H/F,Adonis Paysages,Vallauris - 06,2025-12-14 00:42:00.421561,1,33000.0,1
Technicien Usine d'Eau Potable et Assainissement H/F,Veolia Eau,Sainte-Menehould - 51,2025-12-14 00:42:00.422580,1,29300.0,1
Employé Qualifié Logistique Magasin H/F,Auchan Retail France,Caluire-et-Cuire - 69,2025-12-14 00:42:00.424305,1,24947.0,0
Opérateur Réseaux H/F,Veolia Eau,Aime-la-Plagne - 73,2025-12-14 00:42:00.424646,1,34000.0,1
Collaborateur Comptable Confirmé H/F,CERFRANCE Mayenne/Sarthe,Le Grand-Lucé - 72,2025-12-14 00:42:00.426110,1,31500.0,1
Second de Cuisine H/F,Vitalrest,Paris 18e - 75,2025-12-14 00:42:00.426446,1,28224.0,0
Auxiliaire de Vie H/F,ADHAP,Clermont-Ferrand - 63,2025-12-14 00:42:00.427154,0,12.0,0
Commercial Terrain Btob - Bâtiment H/F,Dorthz,Loire-Atlantique - 44,2025-12-14 00:42:00.427897,1,37500.0,1
Conducteur de Ligne H/F,JH Industries,Rocheservière - 85,2025-12-14 00:42:00.429347,1,23292.0,0
Boulanger H/F,Boulangerie  Ange,Jaux - 60,2025-12-14 00:42:04.084692,1,22800.0,0
Assistant Ménager Ossé H/F,Maison et Services,Châteaugiron - 35,2025-12-14 00:42:04.085428,0,11.0,0
Directeur Hypermarché H/F,Auchan Retail France,Lyon - 69,2025-12-14 00:42:04.085769,1,80600.0,1
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:42:04.086104,0,26000.0,0
Responsable Animations Pièces & Services H/F,Emil Frey France,Grenoble - 38,2025-12-14 00:42:04.088108,1,47500.0,1
Responsable Back-Office & Supply H/F,Dresco,Paris - 75,2025-12-14 00:42:04.089121,1,45000.0,1
Technicien Exploitation Maintenance H/F,SCP – Société du canal de Provence,Le Tholonet - 13,2025-12-14 00:42:04.091468,1,27500.0,0
Chef de Mission Expertise Comptable H/F,PKF Arsilon,Saint-Quentin - 02,2025-12-14 00:42:04.093468,1,46500.0,1
Boulanger H/F,Boulangerie  Ange,Jaux - 60,2025-12-14 00:42:08.454564,1,22800.0,0
Assistant Ménager Ossé H/F,Maison et Services,Châteaugiron - 35,2025-12-14 00:42:08.455269,0,11.0,0
Directeur Hypermarché H/F,Auchan Retail France,Lyon - 69,2025-12-14 00:42:08.455608,1,80600.0,1
