titre,entreprise,localisation,salaire,date_publication,description
Chef Gérant H/F,COMPASS GROUP,Foulayronnes - 47,,2025-12-16 16:08:30.255861,"Chef Gérant H/F à Foulayronnes - 47, chez COMPASS GROUP, pour un CDI, en temps plein"
Cuisinier H/F,COMPASS GROUP,Saint-Aubin-Routot - 76,,2025-12-16 16:08:30.256243,"Cuisinier H/F à Saint-Aubin-Routot - 76, chez COMPASS GROUP, pour un CDI, en temps plein"
Second de Cuisine H/F,COMPASS GROUP,Marseille 9e - 13,,2025-12-16 16:08:30.256579,"Second de Cuisine H/F à Marseille 9e - 13, chez COMPASS GROUP, pour un CDI, en temps plein"
Second de Cuisine H/F,COMPASS GROUP,Talence - 33,,2025-12-16 16:08:30.256903,"Second de Cuisine H/F à Talence - 33, chez COMPASS GROUP, pour un CDI, en temps plein"
Animateur Commercial Multi-Sites H/F,123 Pare-Brise,Poitiers - 86,2 081 - 4 581 € / mois,2025-12-16 16:08:30.257249,"Animateur Commercial Multi-Sites H/F à Poitiers - 86, chez 123 Pare-Brise, super recruteur, pour un CDI, avec un salaire de 2 081 - 4 581 € / mois, en temps plein"
Technicien Vitrage Itinérant H/F,123 Pare-Brise,Bruay-la-Buissière - 62,2 500 - 2 800 € / mois,2025-12-16 16:08:30.257606,"Technicien Vitrage Itinérant H/F à Bruay-la-Buissière - 62, chez 123 Pare-Brise, super recruteur, pour un CDI, avec un salaire de 2 500 - 2 800 € / mois, en temps plein"
Technico Commercial Itinérant H/F,Richardson.,Bordeaux - 33,,2025-12-16 15:08:33.768634,"Technico Commercial Itinérant H/F à Bordeaux - 33, chez Richardson., pour un CDI, en temps plein"
Juriste Pôle Ouvertures - CDI H/F,MAF - Mutuelle des Architectes Français,Paris 17e - 75,,2025-12-16 16:08:33.769269,"Juriste Pôle Ouvertures - CDI H/F à Paris 17e - 75, chez MAF - Mutuelle des Architectes Français, pour un CDI, en temps plein, Télétravail partiel"
Conducteur SPL Zone Longue avec Adr H/F,GEODIS,Sainte-Hélène-du-Lac - 73,,2025-12-16 16:08:33.769629,"Conducteur SPL Zone Longue avec Adr H/F à Sainte-Hélène-du-Lac - 73, chez GEODIS, pour un CDI, en temps plein"
Chef Gérant H/F,COMPASS GROUP,Foulayronnes - 47,,2025-12-16 16:08:33.769968,"Chef Gérant H/F à Foulayronnes - 47, chez COMPASS GROUP, pour un CDI, en temps plein"
Cuisinier H/F,COMPASS GROUP,Saint-Aubin-Routot - 76,,2025-12-16 16:08:33.770297,"Cuisinier H/F à Saint-Aubin-Routot - 76, chez COMPASS GROUP, pour un CDI, en temps plein"
Second de Cuisine H/F,COMPASS GROUP,Marseille 9e - 13,,2025-12-16 16:08:33.770632,"Second de Cuisine H/F à Marseille 9e - 13, chez COMPASS GROUP, pour un CDI, en temps plein"
Technicien Vitrage Itinérant H/F,123 Pare-Brise,Bruay-la-Buissière - 62,2 500 - 2 800 € / mois,2025-12-16 16:08:33.770985,"Technicien Vitrage Itinérant H/F à Bruay-la-Buissière - 62, chez 123 Pare-Brise, super recruteur, pour un CDI, avec un salaire de 2 500 - 2 800 € / mois, en temps plein"
Technicien Vitrage Itinérant H/F,123 Pare-Brise,Béthune - 62,2 500 - 2 800 € / mois,2025-12-16 16:08:33.771341,"Technicien Vitrage Itinérant H/F à Béthune - 62, chez 123 Pare-Brise, super recruteur, pour un CDI, avec un salaire de 2 500 - 2 800 € / mois, en temps plein"
Second de Cuisine H/F,COMPASS GROUP,Talence - 33,,2025-12-16 16:08:33.771667,"Second de Cuisine H/F à Talence - 33, chez COMPASS GROUP, pour un CDI, en temps plein"
Technicien Alarme H/F,Securitas Technology,Narbonne - 11,2 200 - 2 800 € / mois,2025-12-16 17:08:33.772014,"Technicien Alarme H/F à Narbonne - 11, chez Securitas Technology, super recruteur, pour un CDI, avec un salaire de 2 200 - 2 800 € / mois, en temps plein"
Électricien Tertiaire - Industriel H/F,Squiban Group,Plougastel-Daoulas - 29,13 - 17 € / heure,2025-12-16 17:08:33.772420,"Électricien Tertiaire - Industriel H/F à Plougastel-Daoulas - 29, chez Squiban Group, super recruteur, pour un CDI, avec un salaire de 13 - 17 € / heure, en temps plein"
Technicien BE H/F,Squiban Group,Plougastel-Daoulas - 29,13 - 16 € / heure,2025-12-16 17:08:33.772784,"Technicien BE H/F à Plougastel-Daoulas - 29, chez Squiban Group, super recruteur, pour un CDI, avec un salaire de 13 - 16 € / heure, en temps plein"
Chauffeur Camion Bras Auxiliaire H/F,Mediaco,Toulouse - 31,,2025-12-16 16:08:33.773112,"Chauffeur Camion Bras Auxiliaire H/F à Toulouse - 31, chez Mediaco, pour un CDI, en temps plein"
Chauffeur SPL H/F,Mediaco,Toulouse - 31,,2025-12-16 16:08:33.773483,"Chauffeur SPL H/F à Toulouse - 31, chez Mediaco, pour un CDI, en temps plein"
Chef d'Équipe VRD H/F,ATLANROUTE,Saint-Sauveur-d'Aunis - 17,30 000 - 35 000 € / an,2025-12-16 15:08:33.773851,"Chef d'Équipe VRD H/F à Saint-Sauveur-d'Aunis - 17, chez ATLANROUTE, super recruteur, pour un CDI, avec un salaire de 30 000 - 35 000 € / an, en temps plein"
Opérateur de Maintenance - Equipements Hydrauliques et Disconnecteurs H/F,Veolia Eau,Flourens - 31,,2025-12-16 15:08:33.774181,"Opérateur de Maintenance - Equipements Hydrauliques et Disconnecteurs H/F à Flourens - 31, chez Veolia Eau, pour un CDI, en temps plein"
Nettoyeur de Vitres - 30Heures H/F,Maison et Services,Saumur - 49,11,2025-12-16 15:08:33.774555,"Nettoyeur de Vitres - 30Heures H/F à Saumur - 49, chez Maison et Services, super recruteur, pour un CDI, avec un salaire de 11,88 - 12 € / heure, en temps partiel"
Consultant Immobilier - Salarié·e VRP H/F,Foncia,Toulouse - 31,,2025-12-16 15:08:33.774879,"Consultant Immobilier - Salarié·e VRP H/F à Toulouse - 31, chez Foncia, pour un CDI, en temps plein"
Consultant Immobilier - Salarié·e VRP H/F,Foncia,Paris - 75,,2025-12-16 15:08:33.775206,"Consultant Immobilier - Salarié·e VRP H/F à Paris - 75, chez Foncia, pour un CDI, en temps plein"
Monteur-Vendeur - Conseiller Optique - Franchise H/F,Alain Afflelou,Avranches - 50,,2025-12-16 15:08:33.775527,"Monteur-Vendeur - Conseiller Optique - Franchise H/F à Avranches - 50, chez Alain Afflelou, pour un CDI, en temps plein"
Opérateur·trice Maintenance Mécanique H/F,Safran,Seine-et-Marne - 77,,2025-12-16 15:08:33.775854,"Opérateur·trice Maintenance Mécanique H/F à Seine-et-Marne - 77, chez Safran, pour un CDI, en temps plein"
Chargé de Projet Electronique H/F,Codeo,Rillieux-la-Pape - 69,32 000 - 40 000 € / an,2025-12-16 15:08:33.776206,"Chargé de Projet Electronique H/F à Rillieux-la-Pape - 69, chez Codeo, super recruteur, pour un CDI, avec un salaire de 32 000 - 40 000 € / an, en temps plein"
Employé de Ménage-Repassage - Avignon H/F,O2,Avignon - 84,11,2025-12-16 15:08:33.776547,"Employé de Ménage-Repassage - Avignon H/F à Avignon - 84, chez O2, pour un CDI, avec un salaire de 11,91 - 12,02 € / heure, en temps plein"
Maroquinier Formation - Reconversion - Louverné 53 H/F,Bagage France Luxe,Laval - 53,21 621,2025-12-16 15:08:33.776882,"Maroquinier Formation - Reconversion - Louverné 53 H/F à Laval - 53, chez Bagage France Luxe, pour un CDI, avec un salaire de 21 621,60 € / an, en temps plein"
Product Owner H/F,ACD Groupe,Tours - 37,,2025-12-16 15:08:33.777217,"Product Owner H/F à Tours - 37, chez ACD Groupe, pour un CDI, en temps plein, Télétravail partiel"
Comptable H/F,ACD Groupe,Saint-Grégoire - 35,,2025-12-16 15:08:33.777542,"Comptable H/F à Saint-Grégoire - 35, chez ACD Groupe, pour un CDI, en temps plein"
Assistant Comptable H/F,ACD Groupe,Aix-en-Provence - 13,,2025-12-16 15:08:33.777871,"Assistant Comptable H/F à Aix-en-Provence - 13, chez ACD Groupe, pour un CDI, en temps plein, Télétravail partiel"
Responsable de Magasin - CDI - 35H - Mont Saint Aignan H/F,Adopt',Mont-Saint-Aignan - 76,,2025-12-16 15:08:33.778198,"Responsable de Magasin - CDI - 35H - Mont Saint Aignan H/F à Mont-Saint-Aignan - 76, chez Adopt', pour un CDI, en temps plein"
Pharmacien Adjoint H/F,Medijob,Nogent-le-Rotrou - 28,3 045 - 3 654 € / mois,2025-12-16 16:08:33.778548,"Pharmacien Adjoint H/F à Nogent-le-Rotrou - 28, chez Medijob, pour un CDI, avec un salaire de 3 045 - 3 654 € / mois, en temps plein"
Mécanicien Automobile H/F,Feu Vert,Saint-Grégoire - 35,1 900 - 2 500 € / mois,2025-12-16 17:08:33.778901,"Mécanicien Automobile H/F à Saint-Grégoire - 35, chez Feu Vert, super recruteur, pour un CDI, avec un salaire de 1 900 - 2 500 € / mois, en temps plein"
Conseiller de Vente - CDI 35H - Boutique H/F,Tara Jarmon,Nice - 06,,2025-12-16 17:08:37.545209,"Conseiller de Vente - CDI 35H - Boutique H/F à Nice - 06, chez Tara Jarmon, pour un CDI, en temps plein"
Poseur de Menuiserie H/F,Art & Fenêtres,Cusset - Vichy - 03,1 850 - 3 000 € / mois,2025-12-16 17:08:37.545564,"Poseur de Menuiserie H/F à Cusset - Vichy - 03, chez Art & Fenêtres, pour un CDI, avec un salaire de 1 850 - 3 000 € / mois, en temps plein"
Animateur Commercial Multi-Sites H/F,123 Pare-Brise,Tours - 37,2 081 - 4 581 € / mois,2025-12-16 16:08:37.545928,"Animateur Commercial Multi-Sites H/F à Tours - 37, chez 123 Pare-Brise, super recruteur, pour un CDI, avec un salaire de 2 081 - 4 581 € / mois, en temps plein"
Conseiller Commercial - Saint Chamond H/F,Groupama Rhône Alpes Auvergne,Saint-Chamond - 42,,2025-12-16 17:08:37.546269,"Conseiller Commercial - Saint Chamond H/F à Saint-Chamond - 42, chez Groupama Rhône Alpes Auvergne, pour un CDI, en temps plein"
